,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
2010,2.3841858e-07,0.0004888773,0.0014287233,0.0020797253,0.0035446882,0.008718967,0.0029858947,0.0034161806,0.0038267374,0.004356563,0.0030910373
2011,0.0004888773,1.1920929e-07,0.00062954426,0.0012782812,0.0025287867,0.007858038,0.002481699,0.002774477,0.0034472942,0.004354775,0.0032234192
2012,0.0014287233,0.00062954426,-2.3841858e-07,0.00035214424,0.0011417866,0.00587821,0.0016041994,0.0019257069,0.0025120974,0.00369215,0.002684474
2013,0.0020797253,0.0012782812,0.00035214424,1.1920929e-07,0.00058579445,0.005112767,0.0013546348,0.0016317368,0.0022384524,0.003540516,0.0028368235
2014,0.0035446882,0.0025287867,0.0011417866,0.00058579445,0.0,0.003976822,0.0009916425,0.0012130141,0.0017733574,0.0034968853,0.0035865307
2015,0.008718967,0.007858038,0.00587821,0.005112767,0.003976822,1.7881393e-07,0.0047168136,0.005667448,0.0045212507,0.0062678456,0.0077418685
2016,0.0029858947,0.002481699,0.0016041994,0.0013546348,0.0009916425,0.0047168136,1.1920929e-07,0.0003027916,0.0005488992,0.0019833446,0.002146542
2017,0.0034161806,0.002774477,0.0019257069,0.0016317368,0.0012130141,0.005667448,0.0003027916,-4.7683716e-07,0.00054109097,0.0020617843,0.0021266937
2018,0.0038267374,0.0034472942,0.0025120974,0.0022384524,0.0017733574,0.0045212507,0.0005488992,0.00054109097,-2.3841858e-07,0.0010197163,0.0017535686
2019,0.004356563,0.004354775,0.00369215,0.003540516,0.0034968853,0.0062678456,0.0019833446,0.0020617843,0.0010197163,5.9604645e-07,0.001990497
2020,0.0030910373,0.0032234192,0.002684474,0.0028368235,0.0035865307,0.0077418685,0.002146542,0.0021266937,0.0017535686,0.001990497,-4.7683716e-07
